epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_perplexity
1,7.046011600494385,0.0033333333333333335,6.970777130126953,0.0175,1065.0501115412644
2,6.73085932413737,0.059166666666666666,6.44087028503418,0.08,626.9521895625194
3,5.7482021522521975,0.07916666666666666,5.7870574378967286,0.08,326.05218260475874
